 ASIGNATURA;TEMA O CONCEPTO;SOLO;BLOOM;TEMA_CLASIFICADO
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional ciclos for mejor caso;Multiestructural;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programación clases y objetos en Java;Abstracto Extendido;Aplicar;Programación Java
PROGRAMACIÓN IMPERATIVA;Matrices en C++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Cadenas en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Recursividad;Abstracto Extendido;Aplicar;Algoritmia
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Levantamiento de Requerimientos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;GUI;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Archivos;Abstracto Extendido;Aplicar;Otros
CONSTRUCCIÓN DE SOFTWARE;programación web;Abstracto Extendido;Aplicar;Otros
CONSTRUCCIÓN DE SOFTWARE;programación web;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Matrices en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en C++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Estructuras en c;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Cadenas en C;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto Integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto Integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
ESTRUCTURAS DE DATOS;Grafos;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Grafos;Abstracto Extendido;Analizar;Otros
INGENIERÍA WEB;Manejo de servidor remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Actualización Servidor Remoto;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;resolución de problemas en entrevista;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ruta más corta ;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;medidas de tendencia central ;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
INGENIERÍA WEB;Foreign Key;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas;Relacional;Analizar;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Dudas cilos;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas arreglos;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Integración de Backen y FrontEND utilizando Srpring Boot y React;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Herramientas para la gestión de proyectos ágiles como Azure DevOps GitHub o Jira;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Asesoría Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Proyecto Ingeniería de Software;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;PROYECTO MATERIA;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Bases de datos Datamart OLAP;NO HAY VERBO;NO HAY VERBO;Bases de Datos
INGENIERÍA WEB;Verificación artefactos proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
INGENIERÍA WEB;Revisión UML: Casos de Uso;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Modelamiento de datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Conexión de la Base de datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Uso de la Norma IEEE 830;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Revisión mecanismo de validación de formularios del proyecto integrador;Multiestructural;Comprender;Proyecto Integrador
INGENIERÍA WEB;Verificación de ajuste a los Casos de Uso;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;MODELO DE ARQUITECTURA;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;REVISION OBJETIVOS;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Revisión proyecto de integrador;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Revisión manual técnico del proyecto de aula;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyectos de estocástico;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto de clase;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto de clase;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Diapositivas proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;DFS;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS QUIZ;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;TALLER;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Preguntas taller;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;NOTACIÓN ASINTÓTICA;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS TALLER;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto Estocásticos;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas del tema Newton Raphson;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas sobre tema EMV;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas taller;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas ejercicio clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema EMV;Preestructural;Recordar;Otros
INGENIERÍA WEB;Diagrama de secuencia;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Configuración de la Base de Datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase;Abstracto Extendido;Aplicar;Estadística y Matemáticas
INGENIERÍA WEB;Revisión proyecto de integrador - app web;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Revisión Manual técnico APP WEB;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase;Multiestructural;Analizar;Otros
INGENIERÍA WEB;Update y Delete con FireBase desde Python;Abstracto Extendido;Aplicar;Programación Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas clase;Preestructural;Recordar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuaciones de recurrencia;Multiestructural;Aplicar;Programación Java
INGENIERÍA WEB;Proyecto de Clase;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Institucionalización de anteproyectos;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Analítica de textos largos en depresión;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;coniiti App;Relacional;Evaluar;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;android studio;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA DE SOFTWARE;Proyecto de Curso;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto algoritmos;Abstracto Extendido;Aplicar;Algoritmia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas ejercicio clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROYECTO FINAL DE LA MATERIA;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROYECTO MATERIA;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Documento de Arquitectura de Software.;Abstracto Extendido;Analizar;Otros
INGENIERÍA WEB;Manejo de Control de Versiones con GIT;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Asesoría Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Tutoría;Abstracto Extendido;Evaluar;Programación Python
INGENIERÍA DE SOFTWARE;Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Tutoría;Abstracto Extendido;Evaluar;Programación Python
INGENIERÍA WEB;Proyecto Integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
INGENIERÍA WEB;Definición de Sprint de acuerdo a SCRUM en el desarrollo de un CRUD bajo el full stack MERN;Abstracto Extendido;Aplicar;Algoritmia
ARQUITECTURA DE SOFTWARE;Definición de Metodología SCRUM con Historia de Usuario;Abstracto Extendido;Analizar;Algoritmia
ARQUITECTURA DE SOFTWARE;Exploración de referencia como soporte para el proyecto en el portal : //stat.mit.edu/;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Revisión de Historia de usuario asociado a la descripción teniendo en cuenta los escenarios de aceptación;Multiestructural;Comprender;Investigación
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase;Abstracto Extendido;Aplicar;Estadística y Matemáticas
INGENIERÍA WEB;Revisión proyecto de integrador - app web;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Revisión Manual técnico APP WEB;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase;Multiestructural;Analizar;Otros
INGENIERÍA WEB;Update y Delete con FireBase desde Python;Abstracto Extendido;Aplicar;Programación Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Taller;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;TEORIA DECOLAS MMm MULTICANAL;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
INGENIERÍA WEB;Verificación artefactos proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
INGENIERÍA WEB;Revisión UML: Casos de Uso;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Modelamiento de datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Conexión de la Base de datos ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Uso de la Norma IEEE 830;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Verificación de ajuste a los Casos de Uso;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;MODELO DE ARQUITECTURA;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;Asesoría Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Proyecto Ingeniería de software;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Proyecto de Software;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto ;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Derivadas-Estocásticos;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Preguntas sobre proyecto;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Taller ;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA WEB;Diagrama de secuencia;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Configuración de la Base de Datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase;Abstracto Extendido;Aplicar;Estadística y Matemáticas
INGENIERÍA WEB;Revisión proyecto de integrador - app web;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Revisión Manual técnico APP WEB;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase;Multiestructural;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase;Preestructural;Recordar;Otros
CONSTRUCCIÓN DE SOFTWARE;TUTORÍA TALLER;Abstracto Extendido;Aplicar;Otros
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea ;Preestructural;Recordar;Otros
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea ;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Preguntas ;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Listas Cadenas ;Abstracto Extendido;Analizar;Programación Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Recurrencias;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS PAPER;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo Kruskal;Multiestructural;Aplicar;Algoritmia
INGENIERÍA WEB;Proyecto Integrado y Proyecto de Curso;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Validación alcance y UML Diseño;Abstracto Extendido;Aplicar;Investigación
INGENIERÍA WEB;Revisión proyecto de integrador;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Analítica de textos largos en depresión;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE EXPOSICIÓN XP;Abstracto Extendido;Evaluar;Proyecto Integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos recursivos;Multiestructural;Aplicar;Algoritmia
INGENIERÍA DE SOFTWARE;IMPLEMENTACION;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Ejercicio taller selectores;Abstracto Extendido;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;Eliminación Lambda;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA WEB;Revisión integración Git y GitHub;Multiestructural;Comprender;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;MÉTODO MAESTRO;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS;Multiestructural;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS TALLER;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;SUMATORIAS;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;COMPLEJIDAD POLINOMIAL;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto final- Aplicación de algoritmos estocásticos y redes bayesianas;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Manejo de Control de Versiones con GIT;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Proyecto Integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
INGENIERÍA WEB;Definición de Sprint de acuerdo a SCRUM en el desarrollo de un CRUD bajo el full stack MERN;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Sensibilización Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Recepción documento proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Revisión Avances. Objetivos y metodología ;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Apoyo en construcción de objetivos WEB;Abstracto Extendido;Aplicar;Investigación
INGENIERÍA WEB;Sensibilización Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Recepción documento proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Revisión Avances. Objetivos y metodología ;Multiestructural;Comprender;Otros
