 ASIGNATURA;TEMA O CONCEPTO
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional ciclos for mejor caso
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programación clases y objetos en Java
PROGRAMACIÓN IMPERATIVA;Matrices en C++
PROGRAMACIÓN IMPERATIVA;Funciones en c++
PROGRAMACIÓN IMPERATIVA;Funciones en C
PROGRAMACIÓN IMPERATIVA;Apuntadores en C
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Cadenas en c++
PROGRAMACIÓN IMPERATIVA;Recursividad
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Levantamiento de Requerimientos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;GUI
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Archivos
CONSTRUCCIÓN DE SOFTWARE;programación web
CONSTRUCCIÓN DE SOFTWARE;programación web
PROGRAMACIÓN IMPERATIVA;Matrices en c++
PROGRAMACIÓN IMPERATIVA;Apuntadores en C++
PROGRAMACIÓN IMPERATIVA;Estructuras en c
PROGRAMACIÓN IMPERATIVA;Cadenas en C
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto Integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto Integrador
ESTRUCTURAS DE DATOS;Grafos
ESTRUCTURAS DE DATOS;Grafos
INGENIERÍA WEB;Manejo de servidor remoto
INGENIERÍA WEB;Actualización Servidor Remoto
ANÁLISIS Y DISEÑO DE ALGORITMOS;resolución de problemas en entrevista
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ruta más corta 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;medidas de tendencia central 
INGENIERÍA WEB;Foreign Key
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
PROGRAMACIÓN IMPERATIVA;Dudas cilos
PROGRAMACIÓN IMPERATIVA;Dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos 
INGENIERÍA WEB;Integración de Backen y FrontEND utilizando Srpring Boot y React
INGENIERÍA WEB;Herramientas para la gestión de proyectos ágiles como Azure DevOps GitHub o Jira
INGENIERÍA DE SOFTWARE;Asesoría Proyecto
INGENIERÍA DE SOFTWARE;Proyecto Ingeniería de Software
ANÁLISIS Y DISEÑO DE ALGORITMOS;PROYECTO MATERIA
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Bases de datos Datamart OLAP
INGENIERÍA WEB;Verificación artefactos proyecto integrador
INGENIERÍA WEB;Revisión UML: Casos de Uso
INGENIERÍA WEB;Modelamiento de datos
INGENIERÍA WEB;Conexión de la Base de datos
INGENIERÍA WEB;Uso de la Norma IEEE 830
INGENIERÍA WEB;Revisión mecanismo de validación de formularios del proyecto integrador
INGENIERÍA WEB;Verificación de ajuste a los Casos de Uso
ARQUITECTURA DE SOFTWARE;MODELO DE ARQUITECTURA
INGENIERÍA DE SOFTWARE;REVISION OBJETIVOS
INGENIERÍA WEB;Revisión proyecto de integrador
INGENIERÍA WEB;Revisión manual técnico del proyecto de aula
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyectos de estocástico
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto de clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto de clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Diapositivas proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ANÁLISIS Y DISEÑO DE ALGORITMOS;DFS
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS QUIZ
ANÁLISIS Y DISEÑO DE ALGORITMOS;TALLER
ANÁLISIS Y DISEÑO DE ALGORITMOS;Preguntas taller
ANÁLISIS Y DISEÑO DE ALGORITMOS;NOTACIÓN ASINTÓTICA
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS TALLER
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto Estocásticos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas del tema Newton Raphson
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas sobre tema EMV
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas taller
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas ejercicio clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema EMV
INGENIERÍA WEB;Diagrama de secuencia
INGENIERÍA WEB;Configuración de la Base de Datos
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase
INGENIERÍA WEB;Revisión proyecto de integrador - app web
INGENIERÍA WEB;Revisión Manual técnico APP WEB
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase
INGENIERÍA WEB;Update y Delete con FireBase desde Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas clase
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuaciones de recurrencia
INGENIERÍA WEB;Proyecto de Clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Institucionalización de anteproyectos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Analítica de textos largos en depresión
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;coniiti App
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;android studio
INGENIERÍA DE SOFTWARE;Proyecto de Curso
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto algoritmos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas ejercicio clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROYECTO FINAL DE LA MATERIA
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROYECTO MATERIA
ARQUITECTURA DE SOFTWARE;Documento de Arquitectura de Software.
INGENIERÍA WEB;Manejo de Control de Versiones con GIT
INGENIERÍA DE SOFTWARE;Asesoría Proyecto
INGENIERÍA DE SOFTWARE;Tutoría
INGENIERÍA DE SOFTWARE;Proyecto
INGENIERÍA DE SOFTWARE;Tutoría
INGENIERÍA WEB;Proyecto Integrador
INGENIERÍA WEB;Definición de Sprint de acuerdo a SCRUM en el desarrollo de un CRUD bajo el full stack MERN
ARQUITECTURA DE SOFTWARE;Definición de Metodología SCRUM con Historia de Usuario
ARQUITECTURA DE SOFTWARE;Exploración de referencia como soporte para el proyecto en el portal : //stat.mit.edu/
ARQUITECTURA DE SOFTWARE;Revisión de Historia de usuario asociado a la descripción teniendo en cuenta los escenarios de aceptación
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase
INGENIERÍA WEB;Revisión proyecto de integrador - app web
INGENIERÍA WEB;Revisión Manual técnico APP WEB
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase
INGENIERÍA WEB;Update y Delete con FireBase desde Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Taller
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;TEORIA DECOLAS MMm MULTICANAL
INGENIERÍA WEB;Verificación artefactos proyecto integrador
INGENIERÍA WEB;Revisión UML: Casos de Uso
INGENIERÍA WEB;Modelamiento de datos
INGENIERÍA WEB;Conexión de la Base de datos 
INGENIERÍA WEB;Uso de la Norma IEEE 830
INGENIERÍA WEB;Verificación de ajuste a los Casos de Uso
ARQUITECTURA DE SOFTWARE;MODELO DE ARQUITECTURA
INGENIERÍA DE SOFTWARE;Asesoría Proyecto
INGENIERÍA DE SOFTWARE;Proyecto Ingeniería de software
INGENIERÍA DE SOFTWARE;Proyecto de Software
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Derivadas-Estocásticos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Preguntas sobre proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Taller 
INGENIERÍA WEB;Diagrama de secuencia
INGENIERÍA WEB;Configuración de la Base de Datos
INGENIERÍA WEB;Diagramas de secuencia y DJango con Firebase
INGENIERÍA WEB;Revisión proyecto de integrador - app web
INGENIERÍA WEB;Revisión Manual técnico APP WEB
INGENIERÍA WEB;Utilización de herramienta de control de código desde visual studio
INGENIERÍA WEB;Identificación de la llave primaria para insertar datos relacionados en firebase
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas tema clase
CONSTRUCCIÓN DE SOFTWARE;TUTORÍA TALLER
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
ESTRUCTURAS DE DATOS;Preguntas 
ESTRUCTURAS DE DATOS;Listas Cadenas 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Recurrencias
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS PAPER
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo Kruskal
INGENIERÍA WEB;Proyecto Integrado y Proyecto de Curso
INGENIERÍA WEB;Validación alcance y UML Diseño
INGENIERÍA WEB;Revisión proyecto de integrador
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Analítica de textos largos en depresión
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE EXPOSICIÓN XP
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos recursivos
INGENIERÍA DE SOFTWARE;IMPLEMENTACION
INGENIERÍA WEB;Ejercicio taller selectores
ALGORITMIA Y PROGRAMACIÓN;Eliminación Lambda
INGENIERÍA WEB;Revisión integración Git y GitHub
ANÁLISIS Y DISEÑO DE ALGORITMOS;MÉTODO MAESTRO
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS
ANÁLISIS Y DISEÑO DE ALGORITMOS;PREGUNTAS TALLER
ANÁLISIS Y DISEÑO DE ALGORITMOS;SUMATORIAS
ANÁLISIS Y DISEÑO DE ALGORITMOS;COMPLEJIDAD POLINOMIAL
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto final- Aplicación de algoritmos estocásticos y redes bayesianas
INGENIERÍA WEB;Manejo de Control de Versiones con GIT
INGENIERÍA WEB;Proyecto Integrador
INGENIERÍA WEB;Definición de Sprint de acuerdo a SCRUM en el desarrollo de un CRUD bajo el full stack MERN
INGENIERÍA WEB;Sensibilización Proyecto
INGENIERÍA WEB;Recepción documento proyecto
INGENIERÍA WEB;Revisión Avances. Objetivos y metodología 
INGENIERÍA WEB;Apoyo en construcción de objetivos WEB
INGENIERÍA WEB;Sensibilización Proyecto
INGENIERÍA WEB;Recepción documento proyecto
INGENIERÍA WEB;Revisión Avances. Objetivos y metodología 
INGENIERÍA WEB;Acompañamiento revisión objetivos WEB
INGENIERÍA WEB;Manejo de referencias
INGENIERÍA WEB;Validación Criterios 2
INGENIERÍA WEB;Consideraciones Metodologicas y Alcance
INGENIERÍA WEB;Ajustes documentación proyecto
INGENIERÍA WEB;Conexión con pasarelas por medio de API
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional
INGENIERÍA DE SOFTWARE;Consulta sobre Metodologías Scrum e Ing. de Software
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos de recurrencia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programación dinámica problema de la mochila
ANÁLISIS Y DISEÑO DE ALGORITMOS;Agente Viajero NP
INGENIERÍA WEB;Conexión con repositorios remotos
INGENIERÍA WEB;Conexión con Repositorio remoto 
INGENIERÍA WEB;Configuración Entorno LINUX
ARQUITECTURA DE SOFTWARE;Definición del alcance de arquitectura de software como asignatura y su importancia
INGENIERÍA DE SOFTWARE;Revisión Planteamiento del Proyecto de Semestre
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE OBJETIVOS
INGENIERÍA DE SOFTWARE;IEEE 830
ARQUITECTURA DE SOFTWARE;Atributos de calidad
INGENIERÍA DE SOFTWARE;Diagrama de clases
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas de estocasticos
INGENIERÍA DE SOFTWARE;XTREME PROGRAMING
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE EXPOSICIÓN XP
INGENIERÍA DE SOFTWARE;PROYECTO
INGENIERÍA DE SOFTWARE;CRONOGRAMA
INGENIERÍA DE SOFTWARE;IMPLEMENTACION
ARQUITECTURA DE SOFTWARE;Requerimientos no funcionales
INGENIERÍA DE SOFTWARE;Diagrama de clases
INGENIERÍA DE SOFTWARE;Diagrama de clases
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
ARQUITECTURA DE SOFTWARE;Vistas
ARQUITECTURA DE SOFTWARE;Software dudas
ARQUITECTURA DE SOFTWARE;Documento de Arquitectura de Software.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Revisión de proyecto
INGENIERÍA WEB;Diagramas de Diseño del sistema
INGENIERÍA WEB;Redacción Escrito texto crítico
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Sistema IOT y modelado matlab
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de Colas 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Introducción a IOT 
INGENIERÍA DE SOFTWARE;Requerimientos de software
INGENIERÍA DE SOFTWARE;Proyecto web
INGENIERÍA DE SOFTWARE;retroalimentación de proyecto
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE EXPOSICIÓN XP
INGENIERÍA DE SOFTWARE;PROYECTO
ANÁLISIS Y DISEÑO DE ALGORITMOS;Consulta sobre algoritmo Dijkstra
INGENIERÍA WEB;Validación Criterios de Endpoints
INGENIERÍA WEB;Manejo de presupuestos Proyecto WEB-Firebase
CONSTRUCCIÓN DE SOFTWARE;Programación O.O.
CONSTRUCCIÓN DE SOFTWARE;atributos de calidad
ARQUITECTURA DE SOFTWARE;Tecnologías orientadas a servicios.
INGENIERÍA WEB;Formulación de Proyecto Final
INGENIERÍA WEB;Manejo de Control de Versiones con GIT
INGENIERÍA WEB;Definición del objetivo general de la propuesta a desarrollar bajo los parámetros de la ingeniería web con criterios de adaptabilidad interactividad y persistencia.
INGENIERÍA WEB;Desarrollar una plataforma web interactiva adaptativa y persistente para la intermediación entre profesionales del reciclaje y la población en general de acuerdo a la ley de gestión integral de residuos sólidos y la viabilidad económica del reciclaje industrial.
INGENIERÍA WEB;Revisión del contexto del desarrollo del proyecto Integrador en el marco del ciclo de vida de la metodología SCRUM
INGENIERÍA WEB;Revisión Revisión y detalle de actividades asociadas a objetivos específicos en el marco del desarrollo de una plataforma WEB
INGENIERÍA DE SOFTWARE;Requerimientos funcionales
INGENIERÍA DE SOFTWARE;Requerimientos de software
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas taller
INGENIERÍA DE SOFTWARE;Requerimientos de software
INGENIERÍA DE SOFTWARE;Ing. Software - proyecto web mvc
INGENIERÍA WEB;Consulta sobre el proceso de desarrollo de Ontologias a partir de Methontology
INGENIERÍA DE SOFTWARE;corrección planteamiento del problema
INGENIERÍA DE SOFTWARE;REVISION PROYECTO
INGENIERÍA DE SOFTWARE;METODOLOGIA
INGENIERÍA DE SOFTWARE;CRONOGRAMA
INGENIERÍA DE SOFTWARE;REVISION PROYECTO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;TUTORIA PROYECTO FINAL 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto final
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto final 
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
ESTRUCTURAS DE DATOS;Información sobre apoyo en la asignatura 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos 
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMO CYK
INGENIERÍA DE SOFTWARE;Requerimientos funcionales
INGENIERÍA DE SOFTWARE;Requerimientos de software
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas taller
INGENIERÍA DE SOFTWARE;Requerimientos de software
INGENIERÍA DE SOFTWARE;Ing. Software - proyecto mvc
INGENIERÍA WEB;Apoyo en la aclaración de dudas sobre metodología Methontology para el desarrollo de una ontología de propósito especifico.
ARQUITECTURA DE SOFTWARE;Documento de Arquitectura de Software.
INGENIERÍA WEB;JavaScript
INGENIERÍA WEB;Revisión del contexto del desarrollo del proyecto Integrador en el marco del ciclo de vida de la metodología SCRUM
ANÁLISIS Y DISEÑO DE ALGORITMOS;PROYECTO MATERIA
INGENIERÍA DE SOFTWARE;REDACCION DE OBJETIVOS
INGENIERÍA DE SOFTWARE;TSP Y PSP
INGENIERÍA DE SOFTWARE;Diagrama de clases
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
ARQUITECTURA DE SOFTWARE;Pertinencia de la representación arquitectónica
ARQUITECTURA DE SOFTWARE;Vista lógica
INGENIERÍA DE SOFTWARE;Requerimientos de software
INGENIERÍA DE SOFTWARE;Requerimientos de software
INGENIERÍA DE SOFTWARE;Programación modelo MVC
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
INGENIERÍA WEB;Formulación de Proyecto Final
INGENIERÍA WEB;Especificación de Sprints de acuerdo a SCRUM asociados al proceso de desarrollo de software con base en el ciclo de vida del Software.
INGENIERÍA DE SOFTWARE;INGENIERÍA DE SOFTWARE OBJETIVOS
INGENIERÍA DE SOFTWARE;IEEE 830
ANÁLISIS Y DISEÑO DE ALGORITMOS;Duda de Algoritmos 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Consulta tarea agente viajero
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Idea de proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
INGENIERÍA WEB;HTML no valida todos los campos
INGENIERÍA WEB;Diagrama de Gantt
ARQUITECTURA DE SOFTWARE;Configuración wordpress
INGENIERÍA WEB;Diseño del sistema web
INGENIERÍA WEB;Diseño del sistema web
INGENIERÍA WEB;Frameworks para ingeniería web
INGENIERÍA DE SOFTWARE;CUESTIONARIO REVISION
INGENIERÍA DE SOFTWARE;METODOLOGIAS
INGENIERÍA DE SOFTWARE;METODOLOGIA
INGENIERÍA DE SOFTWARE;CRONOGRAMA
INGENIERÍA DE SOFTWARE;REVISION PROYECTO
CONSTRUCCIÓN DE SOFTWARE;REVISIÓN DE TRABAJO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;DUDAS MACHINE LEARNING
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Inteligencia Artificial
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
CONSTRUCCIÓN DE SOFTWARE;Aclaración sobre dudas en entorno de programación y tarea 
INGENIERÍA DE SOFTWARE;REVISION ALCANCES 
INGENIERÍA DE SOFTWARE;MODELO RUP
INGENIERÍA DE SOFTWARE;REVISION PROYECTO
INGENIERÍA DE SOFTWARE;IEEE 830
INGENIERÍA DE SOFTWARE;AVANCE PROYECTO
INGENIERÍA DE SOFTWARE;DESARROLLO JAVA
ANÁLISIS Y DISEÑO DE ALGORITMOS;SUMATORIAS DOBLES
ANÁLISIS Y DISEÑO DE ALGORITMOS;SUMATORIAS
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS DE EUCLIDES
ANÁLISIS Y DISEÑO DE ALGORITMOS;Notación Asintotica 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo Dijkstra 
INGENIERÍA WEB;Manejo de Control de Versiones con GIT
ARQUITECTURA DE SOFTWARE;Configuración de ambiente de desarrollo
INGENIERÍA DE SOFTWARE;planteamiento de la encuestsa
CONSTRUCCIÓN DE SOFTWARE;REVISION DE TRABAJO
ARQUITECTURA DE SOFTWARE;Testabilidad
INGENIERÍA DE SOFTWARE;Requerimientos de software
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov.
INGENIERÍA WEB;Expresiones regulares en Java Script
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Revisión Ejecución taller de Raft Consensus
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Revisión Taller SD
ESTRUCTURAS DE DATOS;Colas Dinámicas
INGENIERÍA WEB;Solución dudas Despliegue en servidor
INGENIERÍA WEB;Manejo de proyectos WEB en Repositorio Remoto
INGENIERÍA DE SOFTWARE;REVISION LIMITACIONES
INGENIERÍA DE SOFTWARE;EXPOSICIÓN PROTOTIPOS
INGENIERÍA DE SOFTWARE;REVISION PROYECTO
INGENIERÍA DE SOFTWARE;IEEE 830
